Phase,Activity,Interactivity type,Learning type,Social level,Indicators,Monitored resources ans actions,Constraint type,Students or groups evaluated,Evidences,,,,Problems,,,,TOTAL,,,,%,,,,TOTAL (Distance),,,,%,,,,TOTAL (Blended),,,,%,,,,TOTAL (face-to-face),,,,%,,,,TOTAL (computer-mediated),,,,%,,,,TOTAL (blended),,,,%,,,,TOTAL (face-to-face),,,,%,,,,TOTAL (activity constraints),,,,%,,,,TOTAL (pattern constraints),,,,%,,,,TOTAL (individual),,,,%,,,,TOTAL (small groups),,,,%,,,,TOTAL (big groups),,,,%,,,,TOTAL (whole class),,,,%,,,,TOTAL (conditions per activity),,,,%,,,
,,,,,5) Impact of future activities (the proposal is reused in 4.1),* Accesses/editions to Gdocs (proposal),pattern,3,3,3,0,3,0,0,0,0,3,0,0,3,100.00,0.00,0.00,100.00,,,,,,,,,3,0,0,3,100.00,0.00,0.00,100.00,,,,,,,,,,,,,,,,,3,0,0,3,100.00,0.00,0.00,100.00,,,,,,,,,,,,,,,,,3,0,0,3,100.00,0.00,0.00,100.00,,,,,,,,,,,,,,,,,3,0,0,3,100.00,0.00,0.00,100.00,,,,,,,,,,,,,,,,
Level 4,"Activity 4.1
Presentation of research proposals & plans
(monitored)",Blended,Blended,Whole class,1) Individual participation,* Attendance to the lab session,activity,15,15,15,15,15,0,0,0,0,15,0,15,15,100.00,0.00,100.00,100.00,,,,,,,,,,,,,,,,,15,0,15,15,100.00,0.00,100.00,100.00,,,,,,,,,,,,,,,,,15,0,15,15,100.00,0.00,100.00,100.00,15,0,15,15,100.00,0.00,100.00,100.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,0,15,15,100.00,0.00,100.00,100.00,16,0,16,16,100,0,100,100
,,,,,2)Expected use of resources (presentations),* Editions/uploads to Wiki (presentations),activity,1,1,1,1,1,0,0,0,0,1,0,1,1,100.00,0.00,100.00,100.00,,,,,,,,,,,,,,,,,1,0,1,1,100.00,0.00,100.00,100.00,,,,,,,,,,,,,,,,,1,0,1,1,100.00,0.00,100.00,100.00,1,0,1,1,100.00,0.00,100.00,100.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,1,100.00,0.00,100.00,100.00,,,,,,,,
,"Activity 4.2
Peer evaluation
(monitored)",Computer-mediated,Distance,Individual,1) Individual participation,* Accesses to GForms,activity,15,11,11,0,11,4,4,0,4,15,0,0,15,100.00,0.00,0.00,100.00,15,0,0,15,100.00,0.00,0.00,100.00,,,,,,,,,,,,,,,,,15,0,0,15,100.00,0.00,0.00,100.00,,,,,,,,,,,,,,,,,15,0,0,15,100.00,0.00,0.00,100.00,,,,,,,,,15,0,0,15,100.00,0.00,0.00,100.00,,,,,,,,,,,,,,,,,,,,,,,,,45,0,0,45,100,0,0,100
,,,,,2)Expected use of resources (Gforms),,activity,15,11,11,0,11,4,4,0,4,15,0,0,15,100.00,0.00,0.00,100.00,15,0,0,15,100.00,0.00,0.00,100.00,,,,,,,,,,,,,,,,,15,0,0,15,100.00,0.00,0.00,100.00,,,,,,,,,,,,,,,,,15,0,0,15,100.00,0.00,0.00,100.00,,,,,,,,,15,0,0,15,100.00,0.00,0.00,100.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,3)Expected use of resources (rubric),,activity,15,4,4,0,4,11,11,0,11,15,0,0,15,100.00,0.00,0.00,100.00,15,0,0,15,100.00,0.00,0.00,100.00,,,,,,,,,,,,,,,,,15,0,0,15,100.00,0.00,0.00,100.00,,,,,,,,,,,,,,,,,15,0,0,15,100.00,0.00,0.00,100.00,,,,,,,,,15,0,0,15,100.00,0.00,0.00,100.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,328,292,294,103,292,36,27,0,27,323,5,103,319,98.48,1.52,31.40,97.26,143,1,21,143,99.30555556,0.6944444444,14.58333333,99.30555556,164,4,66,160,97.61904762,2.380952381,39.28571429,95.23809524,16,0,16,16,100,0,100,100,143,1,21,143,99.30555556,0.6944444444,14.58333333,99.30555556,164,4,66,160,97.61904762,2.380952381,39.28571429,95.23809524,16,0,16,16,100,0,100,100,275,5,100,271,98.21428571,1.785714286,35.71428571,96.78571429,48,0,3,48,100,0,6.25,100,122,1,0,122,99.18699187,0.8130081301,0,99.18699187,81,0,29,77,100,0,35.80246914,95.0617284,104,4,58,104,96.2962963,3.703703704,53.7037037,96.2962963,16,0,16,16,100,0,100,100,323,5,103,319,98.48,1.52,31.40,97.26
,,,,,,,328,144,,,,,,,,,,,,,,,68.60,2.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,328,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,328,280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,328,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
